times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
0.0|0.0|0.0|0.0|-134374.7754710361|-134373.47638834215
0.2|0.0|0.0|0.0|-134090.8943712771|-134090.25113615682
0.4|0.0|0.0|0.0|-134019.14001770804|-134017.60129840064
0.6|0.0|0.0|0.0|-133849.35117085555|-133848.85928517533
0.8|0.0|0.0|0.0|-134216.95373588023|-134216.5249124667
1.0|0.0|0.0|0.0|-133904.95947762814|-133902.80274810715
1.2|0.0|0.0|0.0|-134148.74281660526|-134147.35544673796
1.4|0.0|0.0|0.0|-134125.3341032077|-134123.29088576674
1.6|0.0|0.0|0.0|-133929.4054595283|-133928.14421419436
1.8|0.0|0.0|0.0|-133992.66952547777|-133986.21194936812
2.0|0.0|0.0|0.0|-133946.3187594562|-133944.64130316206
2.2|0.0|0.0|0.0|-134016.6079619156|-134015.9647267953
2.4|0.0|0.0|0.0|-134030.47189040383|-134029.77820547018
2.6|0.0|0.0|0.0|-133857.40380568316|-133856.8614701896
2.8|0.0|0.0|0.0|-134144.65291001784|-134139.3935169754
3.0|0.0|0.0|0.0|-134001.03490384424|-133998.29800146964
3.2|0.0|0.0|0.0|-134147.41353081033|-134145.38292582272
3.4|0.0|0.0|0.0|-134090.58181606384|-134085.65034680822
3.6|0.0|0.0|0.0|-134203.87948441|-134202.504726996
3.8|0.0|0.0|0.0|-134161.95568951045|-134157.04944516148
4.0|0.0|0.0|0.0|-133962.76987722938|-133962.16447946912
4.2|0.0|0.0|0.0|-134081.6170250448|-134079.76299440392
4.4|0.0|0.0|0.0|-134062.35780879582|-134061.39926234205
4.6|0.0|0.0|0.0|-133868.4917885188|-133866.58730806457
4.8|0.0|0.0|0.0|-133874.48956495724|-133874.01029173034
5.0|0.0|0.0|0.0|-133875.2589246109|-133871.80311239598
5.2|0.0|0.0|0.0|-133952.1948899801|-133950.8327450195
5.4|0.0|0.0|0.0|-134194.15938698722|-134192.62066767985
5.6|0.0|0.0|0.0|-134084.60272985455|-134080.46584515928
5.8|0.0|0.0|0.0|-134218.9001330105|-134218.28212279687
6.0|0.0|0.0|0.0|-134160.93671463916|-134159.4106077851
6.2|0.0|0.0|0.0|-134200.01708970388|-134197.79729791617
6.4|0.0|0.0|0.0|-134121.34536313868|-134118.1039626305
