times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
0.0|0.0|0.0|0.0|-134074.43967639044|-134072.900957083
0.2|0.0|0.0|0.0|-134327.86446647136|-134325.85908639044
0.4|0.0|0.0|0.0|-134236.37070335157|-134234.1635240172
0.6|0.0|0.0|0.0|-134165.9553763587|-134160.6707584096
0.8|0.0|0.0|0.0|-134201.0684464551|-134199.3657652543
1.0|0.0|0.0|0.0|-133985.64936561888|-133985.11964257865
1.2|0.0|0.0|0.0|-133998.64019255826|-133997.9086702646
1.4|0.0|0.0|0.0|-134100.22244465194|-134099.09993630476
1.6|0.0|0.0|0.0|-134422.93728824236|-134421.47424365502
1.8|0.0|0.0|0.0|-134252.71961797634|-134252.1268326694
2.0|0.0|0.0|0.0|-134501.10934358364|-134497.7796559021
2.2|0.0|0.0|0.0|-134366.07183874885|-134365.41599117522
2.4|0.0|0.0|0.0|-134621.90284228142|-134620.46502260078
2.6|0.0|0.0|0.0|-134471.38582413126|-134468.5984719433
2.8|0.0|0.0|0.0|-134244.53358320336|-134242.45252840235
3.0|0.0|0.0|0.0|-134308.12557293964|-134306.63730344563
3.2|0.0|0.0|0.0|-134065.00792237298|-134062.6367811452
3.4|0.0|0.0|0.0|-134169.69128508845|-134168.26607786113
3.6|0.0|0.0|0.0|-134135.13764987723|-134134.45657739692
3.8|0.0|0.0|0.0|-134196.2828236657|-134195.46301419867
4.0|0.0|0.0|0.0|-134124.08914075207|-134123.43329317844
4.2|0.0|0.0|0.0|-134376.85611868542|-134375.41829900476
4.4|0.0|0.0|0.0|-134377.67770029992|-134375.93718173908
4.6|0.0|0.0|0.0|-134382.52088238217|-134380.75513891468
4.8|0.0|0.0|0.0|-134196.0457597619|-134194.7214521613
5.0|0.0|0.0|0.0|-134147.3112400592|-134145.25541016491
5.2|0.0|0.0|0.0|-134199.48168845283|-134196.5682117315
5.4|0.0|0.0|0.0|-134309.4852885691|-134303.6331102197
5.6|0.0|0.0|0.0|-134492.6937857745|-134487.58574217212
5.8|0.0|0.0|0.0|-134375.25923273308|-134372.91331641198
6.0|0.0|0.0|0.0|-134227.32444647534|-134226.7694985284
6.2|0.0|0.0|0.0|-134218.55170561193|-134216.28146401088
6.4|0.0|0.0|0.0|-134280.55171259312|-134280.40036315302
6.6|0.0|0.0|0.0|-134456.98337263678|-134455.05366727588
6.8|0.0|0.0|0.0|-134330.39674972458|-134326.92832505627
7.0|0.0|0.0|0.0|-134333.62553777942|-134333.18410191254
7.2|0.0|0.0|0.0|-133977.13361421594|-133974.384099388
7.4|0.0|0.0|0.0|-134426.40899342866|-134425.60179641497
